,Company,Product,TypeName,Ram,Weight,Price_euros,IPS,ppi,Cpu Brand,SSD,HDD,Gpu Brand,OS
41,Dell,Inspiron 7577,Gaming,16,2.65,1499.0,1,141.21199808219862,Intel Core i7,256,1024,Nvidia,Windows
42,Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,8,2.3,522.99,0,100.45466986113651,Intel Core i5,0,1024,Nvidia,Others/No OS/Linux
43,Acer,Aspire A515-51G,Notebook,4,2.2,682.0,1,141.21199808219862,Intel Core i5,256,0,Intel,Windows
44,Dell,Inspiron 7773,2 in 1 Convertible,12,2.77,999.0,0,127.33567457123111,Intel Core i5,0,1024,Nvidia,Windows
45,Apple,MacBook Pro,Ultrabook,8,1.37,1419.0,1,226.98300468106115,Intel Core i5,256,0,Intel,Mac
46,Lenovo,IdeaPad 320-15ISK,Notebook,4,2.2,369.0,0,100.45466986113651,Intel Core i3,128,0,Intel,Others/No OS/Linux
47,Asus,Rog Strix,Gaming,8,3.2,1299.0,0,127.33567457123111,AMD Processor,256,1024,AMD,Windows
48,Dell,Inspiron 3567,Notebook,4,2.3,639.0,0,141.21199808219862,Intel Core i5,256,0,AMD,Windows
49,Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,4,2.8,466.0,0,90.58340172449303,Other Intel Processor,0,1024,Nvidia,Windows
50,Lenovo,Yoga Book,2 in 1 Convertible,4,0.69,319.0,1,224.17380907857276,Other Intel Processor,0,0,Intel,Others/No OS/Linux
51,Acer,Aspire A515-51G,Notebook,8,2.2,841.0,1,141.21199808219862,Intel Core i7,256,0,Nvidia,Windows
52,HP,255 G6,Notebook,4,1.86,398.49,0,141.21199808219862,AMD Processor,256,0,AMD,Windows
53,HP,ProBook 430,Notebook,8,1.49,1103.0,0,165.6321180513006,Intel Core i7,512,0,Intel,Windows
54,Acer,Aspire 3,Notebook,4,2.4,384.0,0,100.45466986113651,Intel Core i3,0,1024,Intel,Windows
55,Dell,Inspiron 3576,Notebook,8,2.13,767.8,0,141.21199808219862,Intel Core i7,256,0,AMD,Windows
56,HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,4,1.91,439.0,0,141.21199808219862,Intel Core i3,128,0,Intel,Windows
57,Asus,VivoBook Max,Notebook,4,2.0,586.19,0,100.45466986113651,Intel Core i5,256,0,Intel,Windows
58,MSI,GS73VR 7RG,Gaming,16,2.43,2449.0,0,127.33567457123111,Intel Core i7,256,2048,Nvidia,Windows
59,Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,4,2.0,415.0,0,141.21199808219862,Intel Core i3,256,0,Intel,Others/No OS/Linux
60,Dell,Inspiron 5770,Notebook,16,2.8,1299.0,0,127.33567457123111,Intel Core i7,256,2048,AMD,Windows
61,Dell,Vostro 5471,Ultrabook,8,1.7,879.0,0,157.3505121487356,Intel Core i5,256,0,Intel,Windows
62,Lenovo,IdeaPad 520S-14IKB,Notebook,8,1.7,599.0,1,157.3505121487356,Intel Core i3,256,0,Intel,Others/No OS/Linux
63,Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,8,1.4,941.0,0,157.3505121487356,Intel Core i5,256,0,Intel,Windows
64,HP,250 G6,Notebook,8,1.86,690.0,0,141.21199808219862,Intel Core i5,256,0,Intel,Windows
65,Asus,ZenBook Pro,Ultrabook,16,1.8,1983.0,0,141.21199808219862,Intel Core i7,512,0,Nvidia,Windows
66,HP,250 G6,Notebook,4,1.86,438.69,0,100.45466986113651,Intel Core i3,0,500,AMD,Windows
67,HP,Stream 14-AX040wm,Notebook,4,1.44,229.0,0,111.93520355955211,Other Intel Processor,32,0,Intel,Windows
68,Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,4,1.9,549.0,0,141.21199808219862,Intel Core i5,0,1024,Intel,Windows
69,Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,12,3.0,949.0,0,127.33567457123111,Intel Core i7,0,1024,Nvidia,Others/No OS/Linux
70,Microsoft,Surface Laptop,Ultrabook,4,1.252,1089.0,0,200.84255993695703,Intel Core i5,128,0,Intel,Windows
71,Dell,Inspiron 5370,Ultrabook,8,1.4,955.0,1,165.6321180513006,Intel Core i7,256,0,AMD,Windows
72,Dell,Inspiron 5570,Notebook,8,2.2,870.0,0,141.21199808219862,Intel Core i7,256,0,AMD,Windows
73,MSI,GL72M 7RDX,Gaming,8,2.7,1095.0,0,127.33567457123111,Intel Core i5,128,1024,Nvidia,Windows
74,Acer,Aspire E5-475,Notebook,8,2.1,389.0,0,111.93520355955211,Intel Core i3,0,1024,Intel,Windows
75,Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,8,2.2,949.0,0,141.21199808219862,Intel Core i7,0,1024,Nvidia,Windows
76,Lenovo,IdeaPad 320-15IKBN,Notebook,8,2.2,519.0,0,141.21199808219862,Intel Core i5,0,2048,Intel,Others/No OS/Linux
77,Dell,Inspiron 5570,Notebook,8,2.02,855.0,0,141.21199808219862,Intel Core i7,128,1024,Intel,Windows
78,Acer,Aspire A515-51G-32MX,Notebook,4,2.2,530.0,0,141.21199808219862,Intel Core i3,0,1024,Nvidia,Windows
79,HP,ProBook 470,Notebook,8,2.5,977.0,0,127.33567457123111,Intel Core i5,128,1024,Nvidia,Windows
80,Dell,Latitude 5590,Ultrabook,8,1.88,1096.16,1,141.21199808219862,Intel Core i5,256,0,Intel,Windows
81,Apple,"MacBook 12""",Ultrabook,8,0.92,1510.0,1,226.41554716935852,Intel Core i5,512,0,Intel,Mac
82,HP,ProBook 440,Notebook,8,1.63,860.0,0,157.3505121487356,Intel Core i5,256,0,Intel,Windows
83,Lenovo,IdeaPad 320-15AST,Notebook,4,2.2,399.0,0,141.21199808219862,AMD Processor,128,0,AMD,Windows
84,Acer,Aspire 3,Notebook,4,2.1,395.0,0,100.45466986113651,AMD Processor,0,1024,AMD,Windows
85,Dell,Inspiron 7577,Gaming,16,2.65,1349.0,1,141.21199808219862,Intel Core i7,128,1024,Nvidia,Windows
86,HP,Pavilion 15-CK000nv,Ultrabook,8,1.83,699.0,1,141.21199808219862,Intel Core i7,256,0,Nvidia,Windows
87,HP,250 G6,Notebook,8,1.96,598.99,0,141.21199808219862,Intel Core i5,256,0,Intel,Windows
88,Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,16,2.2,1449.0,1,141.21199808219862,Intel Core i7,128,1024,Nvidia,Windows
89,Dell,XPS 13,Ultrabook,8,1.21,1649.0,1,165.6321180513006,Intel Core i7,256,0,Intel,Windows
90,Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,8,2.45,699.0,0,141.21199808219862,AMD Processor,0,1024,AMD,Windows
91,Acer,Aspire 5,Notebook,8,2.2,689.0,0,141.21199808219862,Intel Core i7,0,1024,Nvidia,Windows
92,HP,Probook 430,Notebook,16,1.49,1197.0,0,165.6321180513006,Intel Core i7,512,0,Intel,Windows
93,Dell,Inspiron 7577,Gaming,8,2.65,1195.0,0,141.21199808219862,Intel Core i5,256,0,Nvidia,Windows
94,Asus,Zenbook UX430UA,Ultrabook,8,1.25,1049.0,0,157.3505121487356,Intel Core i7,256,0,Intel,Windows
95,Acer,Spin 5,2 in 1 Convertible,8,1.5,847.0,1,165.6321180513006,Intel Core i5,256,0,Intel,Windows
96,Dell,Inspiron 3567,Notebook,8,2.2,599.9,0,141.21199808219862,Intel Core i7,0,1024,AMD,Others/No OS/Linux
97,Dell,Inspiron 3567,Notebook,4,2.2,485.0,0,141.21199808219862,Intel Core i3,256,0,AMD,Others/No OS/Linux
98,Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,6,2.0,577.0,0,141.21199808219862,Intel Core i3,256,0,Nvidia,Windows
99,HP,Omen 15-ce007nv,Gaming,12,2.62,1249.0,1,141.21199808219862,Intel Core i7,128,1024,Nvidia,Windows
100,HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,8,1.91,719.0,0,141.21199808219862,Intel Core i7,256,0,AMD,Windows
101,HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,Notebook,4,2.1,349.0,0,141.21199808219862,AMD Processor,0,500,AMD,Windows
102,Dell,Inspiron 3576,Notebook,8,2.2,647.0,0,141.21199808219862,Intel Core i5,0,1024,AMD,Others/No OS/Linux
103,HP,Envy 13-ad009n,Ultrabook,8,1.38,1119.0,1,165.6321180513006,Intel Core i7,256,0,Nvidia,Windows
104,Microsoft,Surface Laptop,Ultrabook,8,1.252,1340.0,0,200.84255993695703,Intel Core i5,256,0,Intel,Windows
105,HP,Pavilion 14-BK001nv,Notebook,6,1.58,659.0,1,157.3505121487356,Intel Core i5,256,0,Nvidia,Windows
106,Lenovo,Ideapad 310-15ISK,Notebook,4,1.85,414.9,0,141.21199808219862,Intel Core i3,0,1024,Intel,Windows
107,Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,8,1.3,1193.0,1,157.3505121487356,Intel Core i7,256,0,Nvidia,Windows
108,MSI,GP62M 7REX,Gaming,16,2.2,1299.0,0,141.21199808219862,Intel Core i7,256,1024,Nvidia,Windows
109,Lenovo,Thinkpad T470,Notebook,8,1.58,1480.0,1,157.3505121487356,Intel Core i7,256,0,Intel,Windows
110,Asus,VivoBook S15,Ultrabook,16,1.5,1262.0,0,141.21199808219862,Intel Core i7,256,1024,Nvidia,Windows
111,Dell,XPS 13,Ultrabook,8,1.23,1379.0,0,276.053530085501,Intel Core i7,256,0,Intel,Windows
112,Lenovo,ThinkPad Yoga,2 in 1 Convertible,8,1.37,1399.0,1,165.6321180513006,Intel Core i5,256,0,Intel,Windows
113,HP,Probook 440,Notebook,4,1.63,722.0,1,111.93520355955211,Intel Core i5,0,500,Intel,Windows
114,Dell,XPS 13,Ultrabook,8,1.21,1629.0,1,165.6321180513006,Intel Core i5,256,0,Intel,Windows
115,HP,Spectre x360,2 in 1 Convertible,8,1.26,1398.99,1,165.6321180513006,Intel Core i5,256,0,Intel,Windows
116,HP,Probook 440,Notebook,8,1.63,1084.0,0,157.3505121487356,Intel Core i7,512,0,Intel,Windows
117,Dell,Inspiron 7570,Notebook,8,2.16,1130.33,1,141.21199808219862,Intel Core i7,256,1024,Nvidia,Windows
118,Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Notebook,4,2.0,564.0,0,127.33567457123111,Intel Core i3,0,1024,Nvidia,Windows
119,Asus,VivoBook S15,Notebook,8,1.7,1118.0,0,141.21199808219862,Intel Core i7,256,0,Nvidia,Windows
120,Acer,Spin 3,Notebook,6,2.1,479.0,1,141.21199808219862,Intel Core i3,0,1024,Intel,Windows
121,MSI,GS63VR 7RG,Gaming,16,1.8,2241.5,0,141.21199808219862,Intel Core i7,256,2048,Nvidia,Windows
122,Lenovo,IdeaPad 320-15IKBN,Notebook,8,2.2,629.0,0,141.21199808219862,Intel Core i5,256,0,Nvidia,Others/No OS/Linux
123,HP,Probook 470,Notebook,16,2.5,1271.0,0,127.33567457123111,Intel Core i7,512,0,Nvidia,Windows
124,Acer,Aspire 3,Notebook,4,2.1,451.0,0,100.45466986113651,AMD Processor,256,0,AMD,Windows
125,HP,250 G6,Notebook,4,1.86,259.0,0,100.45466986113651,Other Intel Processor,0,500,Intel,Others/No OS/Linux
126,HP,Probook 440,Notebook,8,1.63,812.0,0,157.3505121487356,Intel Core i5,0,1024,Intel,Windows
127,Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10,Notebook,4,1.65,277.99,0,111.93520355955211,AMD Processor,64,0,AMD,Windows
128,Dell,Inspiron 5770,Notebook,16,2.8,1396.0,0,127.33567457123111,Intel Core i7,256,2048,AMD,Windows
129,HP,ProBook 470,Notebook,8,2.5,928.0,0,127.33567457123111,Intel Core i5,256,0,Intel,Windows
130,Dell,Inspiron 5567,Notebook,8,2.36,638.99,0,100.45466986113651,Intel Core i5,0,1024,AMD,Windows
131,Dell,Inspiron 3567,Notebook,4,2.2,449.0,0,141.21199808219862,Intel Core i3,0,1024,AMD,Windows
132,Acer,Swift 3,Ultrabook,8,1.6,884.0,1,157.3505121487356,Intel Core i7,256,0,Intel,Windows
133,Acer,Aspire A515-51G-37JS,Notebook,4,2.2,572.0,0,141.21199808219862,Intel Core i3,256,0,Nvidia,Windows
134,HP,15-BS078nr (i7-7500U/8GB/1TB/W10),Notebook,8,2.05,598.0,0,100.45466986113651,Intel Core i7,0,1024,Intel,Windows
135,HP,Probook 440,Notebook,8,1.63,988.0,0,157.3505121487356,Intel Core i7,256,0,Intel,Windows
136,Lenovo,V110-15IAP (N3350/4GB/1TB/No,Notebook,4,1.9,252.36,0,100.45466986113651,Other Intel Processor,0,1024,Intel,Others/No OS/Linux
137,Asus,FX753VD-GC086T (i5-7300HQ/8GB/1TB,Gaming,8,3.0,938.0,0,127.33567457123111,Intel Core i5,128,1024,Nvidia,Windows
138,Lenovo,IdeaPad 320-15IKBN,Notebook,4,2.2,499.0,0,141.21199808219862,Intel Core i5,0,1024,Nvidia,Others/No OS/Linux
139,HP,Envy 13-AD007nv,Notebook,4,1.32,699.0,1,165.6321180513006,Intel Core i5,256,0,Intel,Windows
140,Acer,Aspire 5,Notebook,4,3.0,655.0,1,127.33567457123111,Intel Core i3,0,1024,Nvidia,Windows
141,Lenovo,ThinkPad E480,Notebook,8,1.75,1116.02,1,157.3505121487356,Intel Core i5,256,0,AMD,Windows
142,Lenovo,Legion Y520-15IKBN,Gaming,8,2.4,869.0,1,141.21199808219862,Intel Core i7,256,0,Nvidia,Others/No OS/Linux
143,Toshiba,Satellite Pro,Notebook,4,2.1,602.0,0,100.45466986113651,Intel Core i5,0,500,Intel,Windows
144,HP,255 G6,Notebook,4,1.86,369.0,0,100.45466986113651,AMD Processor,256,0,AMD,Windows
145,Asus,ZenBook UX430UA,Ultrabook,8,1.25,1099.0,0,157.3505121487356,Intel Core i7,256,0,Intel,Windows
146,HP,EliteBook Folio,Ultrabook,8,0.97,2014.0,1,352.4651472131677,Other Intel Processor,512,0,Intel,Windows
147,Asus,X541NA (N3350/4GB/1TB/FHD/W10),Notebook,4,2.0,344.0,0,141.21199808219862,Other Intel Processor,0,1024,Intel,Windows
148,MSI,GE72MVR 7RG,Gaming,16,2.9,2029.0,0,127.33567457123111,Intel Core i7,256,1024,Nvidia,Windows
149,Acer,Aspire A315-51,Notebook,4,2.1,447.0,0,100.45466986113651,Intel Core i3,0,1024,Intel,Windows
150,Dell,Inspiron 5577,Gaming,16,2.56,1249.26,0,141.21199808219862,Intel Core i7,512,0,Nvidia,Windows
151,Dell,Inspiron 7567,Gaming,8,2.62,899.0,0,141.21199808219862,Intel Core i7,0,0,Nvidia,Windows
152,Lenovo,V110-15IKB (i5-7200U/4GB/128GB/W10),Notebook,4,1.9,498.0,0,100.45466986113651,Intel Core i5,128,0,Intel,Windows
153,MSI,GE73VR 7RE,Gaming,16,2.8,1890.0,0,127.33567457123111,Intel Core i7,256,1024,Nvidia,Windows
154,HP,EliteBook 840,Ultrabook,4,1.48,1082.0,0,157.3505121487356,Intel Core i5,256,0,Intel,Windows
155,HP,15-BS103nv (i5-8250U/6GB/256GB/Radeon,Notebook,6,1.91,619.0,0,141.21199808219862,Intel Core i5,256,0,AMD,Windows
156,Lenovo,Yoga 520-14IKB,2 in 1 Convertible,4,1.74,629.0,1,157.3505121487356,Intel Core i3,256,0,Intel,Windows
157,Asus,ZenBook Flip,2 in 1 Convertible,8,1.1,1315.0,0,165.6321180513006,Intel Core i5,256,0,Intel,Windows
158,Dell,Inspiron 5579,2 in 1 Convertible,8,1.56,1049.0,0,141.21199808219862,Intel Core i7,256,0,Intel,Windows
159,Toshiba,Satellite Pro,Notebook,4,2.1,447.0,0,100.45466986113651,Intel Core i3,0,500,Intel,Windows
160,Asus,X555BP-XX180T (A9-9420/4GB/1TB/Radeon,Notebook,4,2.03,403.0,0,100.45466986113651,AMD Processor,0,1024,AMD,Windows
161,Acer,Aspire A517-51G,Notebook,4,3.0,805.0,1,127.33567457123111,Intel Core i5,256,0,Nvidia,Windows
162,Dell,Inspiron 3576,Notebook,8,2.13,728.0,0,141.21199808219862,Intel Core i5,256,0,AMD,Windows
163,Lenovo,Legion Y520-15IKBN,Gaming,16,2.5,1079.0,1,141.21199808219862,Intel Core i7,256,0,Nvidia,Windows
164,Acer,Aspire A315-31,Notebook,4,2.1,348.0,0,100.45466986113651,Other Intel Processor,0,1024,Intel,Windows
165,MSI,GE63VR 7RE,Gaming,16,2.4,1799.0,1,141.21199808219862,Intel Core i7,256,1024,Nvidia,Windows
166,Acer,Aspire 3,Notebook,4,2.1,363.51,0,100.45466986113651,Other Intel Processor,0,1024,Intel,Windows
167,Dell,Inspiron 5577,Gaming,8,2.56,1060.49,0,141.21199808219862,Intel Core i7,128,1024,Nvidia,Windows
168,Acer,Aspire A517-51G,Notebook,8,3.0,854.0,1,127.33567457123111,Intel Core i5,256,0,Nvidia,Windows
169,HP,ProBook 430,Notebook,4,1.49,754.0,1,165.6321180513006,Intel Core i5,0,500,Intel,Windows
170,Huawei,MateBook X,Ultrabook,8,1.05,1349.0,1,199.69207064108247,Intel Core i5,256,0,Intel,Windows
171,HP,17-bs001nv (i5-7200U/6GB/2TB/Radeon,Notebook,6,2.71,699.0,1,127.33567457123111,Intel Core i5,0,2048,AMD,Windows
172,Lenovo,IdeaPad 320-15AST,Notebook,4,2.2,309.0,0,100.45466986113651,AMD Processor,0,500,AMD,Others/No OS/Linux
173,Toshiba,Satellite Pro,Notebook,4,2.0,489.0,0,100.45466986113651,Intel Core i3,0,500,Intel,Windows
174,HP,ProBook 470,Notebook,8,2.5,923.0,0,127.33567457123111,Intel Core i5,256,0,Nvidia,Windows
175,Dell,Inspiron 3567,Notebook,8,2.3,459.0,0,100.45466986113651,Intel Core i3,0,1024,Intel,Windows
176,Acer,Aspire A315-51,Notebook,4,2.1,449.0,0,100.45466986113651,Intel Core i3,128,0,Intel,Windows
177,MSI,GT80S 6QF-074US,Gaming,32,4.4,2799.0,0,119.7232157653423,Intel Core i7,512,1024,Nvidia,Windows
178,Lenovo,V310-15IKB (i5-7200U/8GB/1TB,Notebook,8,1.9,813.0,0,141.21199808219862,Intel Core i5,128,1024,AMD,Windows
179,HP,Spectre x360,2 in 1 Convertible,8,1.29,1499.0,1,331.2642361026012,Intel Core i5,256,0,Intel,Windows
180,Dell,Inspiron 5570,Notebook,16,2.02,1049.0,0,141.21199808219862,Intel Core i7,256,2048,AMD,Others/No OS/Linux
181,Dell,XPS 13,Ultrabook,8,1.23,1399.0,0,165.6321180513006,Intel Core i5,256,0,Intel,Windows
182,Lenovo,Yoga 920-13IKB,2 in 1 Convertible,16,1.4,1849.0,1,316.96506044349616,Intel Core i7,512,0,Intel,Windows
183,Toshiba,Satellite Pro,Notebook,8,2.0,793.0,0,100.45466986113651,Intel Core i5,128,0,Intel,Windows
184,Xiaomi,Mi Notebook,Notebook,8,1.95,1199.0,1,141.21199808219862,Intel Core i5,256,0,Nvidia,Others/No OS/Linux
185,Dell,Inspiron 7773,Notebook,16,2.77,1549.0,0,127.33567457123111,Intel Core i7,512,0,Nvidia,Windows
186,Dell,XPS 15,Notebook,16,2.06,2397.0,0,282.42399616439724,Intel Core i7,512,0,Nvidia,Windows
187,Lenovo,Legion Y520-15IKBN,Gaming,8,2.4,779.0,1,141.21199808219862,Intel Core i5,256,0,Nvidia,Others/No OS/Linux
188,Acer,Swift 7,Ultrabook,8,1.12,989.0,1,165.6321180513006,Intel Core i5,256,0,Intel,Windows
189,Dell,Inspiron 5770,Notebook,8,2.8,1085.0,0,127.33567457123111,Intel Core i7,128,1024,AMD,Windows
190,Lenovo,Thinkpad Yoga,2 in 1 Convertible,16,1.42,2824.0,0,209.8006828649808,Intel Core i7,1024,0,Intel,Windows
191,Vero,K147 (N3350/4GB/32GB/FHD/W10),Notebook,4,1.3,260.0,1,157.3505121487356,Other Intel Processor,0,0,Intel,Windows
192,Xiaomi,Mi Notebook,Ultrabook,8,1.3,999.9,1,165.6321180513006,Intel Core i5,256,0,Nvidia,Others/No OS/Linux
193,Lenovo,IdeaPad 320-17IKBR,Notebook,8,2.8,698.0,0,106.11306214269258,Intel Core i5,256,0,Nvidia,Others/No OS/Linux
194,Dell,Inspiron 5379,2 in 1 Convertible,8,1.62,839.0,1,165.6321180513006,Intel Core i7,0,1024,Intel,Windows
195,HP,ProBook 470,Notebook,8,2.5,914.0,1,127.33567457123111,Intel Core i5,0,1024,Nvidia,Windows
196,Razer,Blade Pro,Gaming,32,3.49,6099.0,0,254.67134914246222,Intel Core i7,1024,0,Nvidia,Windows
197,HP,ProBook 430,Notebook,8,1.49,959.0,0,165.6321180513006,Intel Core i5,512,0,Intel,Windows
198,HP,Omen 17-W295,Gaming,16,3.35,1379.0,1,127.33567457123111,Intel Core i7,256,1024,Nvidia,Windows
199,HP,Probook 470,Notebook,8,2.5,1045.0,0,127.33567457123111,Intel Core i7,256,0,Nvidia,Windows
200,Dell,Inspiron 7577,Gaming,16,2.65,1845.0,1,282.42399616439724,Intel Core i7,512,1024,Nvidia,Windows
201,Lenovo,V110-15ISK (i5-6200U/4GB/128GB/W10),Notebook,4,2.1,493.0,0,100.45466986113651,Intel Core i5,128,0,Intel,Windows
202,Acer,Aspire E5-576G,Notebook,8,2.23,742.0,0,141.21199808219862,Intel Core i7,0,1024,Nvidia,Windows
203,Lenovo,Legion Y720-15IKB,Gaming,16,3.2,1749.0,1,141.21199808219862,Intel Core i7,512,1024,Nvidia,Windows
204,Dell,Precision 7520,Workstation,16,2.8,3055.0,0,282.42399616439724,Other Intel Processor,256,1024,Nvidia,Windows
205,Lenovo,Legion Y520-15IKBN,Gaming,16,2.4,1398.0,0,141.21199808219862,Intel Core i7,512,0,Nvidia,Others/No OS/Linux
206,Dell,Inspiron 3567,Notebook,6,2.3,439.0,0,100.45466986113651,Intel Core i3,0,1024,Intel,Windows
207,Dell,XPS 13,Ultrabook,8,1.21,1949.0,1,331.2642361026012,Intel Core i7,256,0,Intel,Windows
208,Dell,XPS 13,Ultrabook,8,1.2,1449.0,0,165.6321180513006,Intel Core i7,256,0,Intel,Windows
209,Lenovo,IdeaPad 320-15IKBN,Notebook,8,2.2,597.0,0,100.45466986113651,Intel Core i5,256,0,Intel,Windows
